"","SampleID","FacilityID","Sample.Date","Matrix","Sample.Reason","Facility.Type","UtmX83","UtmY83","Latitude83","Longitude83","QuarterQuarter","Section","Township","Range","Meridian","County","PermitNumber","ReceiptNumber","WellDepth"
"1",450877,706262,"3/24/2011 0:00:00","WATER","","Domestic Well",257152,4109433,37.09,-107.73,"SESE",17,"33 N","8 W","","LA PLATA                           ",213295,"",250
"2",450878,706336,"3/24/2011 0:00:00","WATER","","Domestic Well",254049,4112755,37.12,-107.76,"SESE",1,"33 N","9 W","N","LA PLATA                           ",216217,"",100
"3",450879,706136,"2/15/2011 0:00:00","WATER","","Domestic Well",263114,4109088,37.09,-107.66,"NWSE",13,"33 N","8 W","N","LA PLATA                           ",249464,"",165
"4",450880,706355,"2/15/2011 0:00:00","WATER","","Domestic Well",268801,4110520,37.11,-107.6,"SWSW",10,"33 N","7 W","","LA PLATA                           ",270141,"",160
"5",450881,706343,"2/15/2011 0:00:00","WATER","","Domestic Well",272959,4118397,37.18,-107.55,"SWSE",13,"34 N","7 W","S","LA PLATA                           ",NA,"",NA
"6",450882,706332,"3/15/2011 0:00:00","WATER","","Ground Water",254206,4110658,37.11,-107.76,"NWNW",18,"33 N","8 W","","LA PLATA                           ",182336,"",250
"7",450883,700480,"12/13/2010 0:00:00","WATER","","Ground Water",268680,4104001,37.05,-107.6,"SWSW",34,"33 N","7 W","N","LA PLATA                           ",178146,"",65
"8",450884,706236,"2/2/2011 0:00:00","WATER","","Domestic Well",255964,4111088,37.11,-107.74,"SWSW",8,"33 N","8 W","","LA PLATA                           ",NA,"",130
"9",450885,708073,"4/4/2011 0:00:00","WATER","","Ground Water",530862,4102200,37.06,-104.65,"SESE",22,"34 S","65 W","6","LAS ANIMAS                         ",NA,"",440
"10",450886,708074,"4/7/2011 0:00:00","WATER","","Ground Water",520969,4122260,37.24,-104.76,"SWNE",22,"32 S","66 W","6","LAS ANIMAS                         ",241293,"",390
"11",450887,708075,"4/11/2011 0:00:00","WATER","","Ground Water",524477,4122274,37.24,-104.72,"SENE",24,"32 S","66 W","6","LAS ANIMAS                         ",242392,"",533
"12",450889,708078,"4/28/2011 0:00:00","WATER","Voluntary baseline sample","Ground Water",512701,4515192,40.78,-104.84,"NESE",35,"10 N","67 W","6","WELD                               ",215381,"0440148A",31
"13",450890,708079,"4/28/2011 0:00:00","WATER","Voluntary baseline sample","Domestic Well",512724,4515434,40.78,-104.84,"NESE",35,"10 N","67 W","6","WELD                               ",208150,"0425986",46
"14",450891,708142,"4/26/2011 0:00:00","WATER","Voluntary baseline sample","Domestic Well",503113,4515158,40.78,-104.96,"NESE",35,"10 N","68 W","6","LARIMER                            ",199824,"0408128 ",300
"15",450892,708081,"4/28/2011 0:00:00","WATER","Voluntary baseline sample","Domestic Well",512712,4515290,40.78,-104.84,"NESE",35,"10 N","67 W","6","WELD                               ",NA,"",NA
"16",450893,705446,"6/14/2011 0:00:00","WATER","Complaint Investigation","Domestic Well",517128,4443912,40.14,-104.79,"SWSE",8,"2 N","66 W","6","WELD                               ",160720,"",580
"17",450895,706848,"4/4/2011 0:00:00","WATER","","Domestic Well",283473,4100552,37.02,-107.43,"SESW",7,"32 N","5 W","","ARCHULETA                          ",241926,"",260
"18",450896,706455,"3/31/2011 0:00:00","WATER","","Domestic Well",274748,4099390,37.01,-107.53,"SWSW",17,"32 N","6 W","","LA PLATA                           ",NA,"",NA
"19",450897,708082,"6/16/2010 0:00:00","WATER","","Domestic Well",278913,4100206,37.02,-107.48,"NWNE",15,"3 2"," 6","","LA PLATA                           ",23327,"",155
"20",450898,708082,"2/13/2008 0:00:00","WATER","","Domestic Well",278913,4100206,37.02,-107.48,"NWNE",15,"3 2"," 6","","LA PLATA                           ",23327,"",155
"21",450899,708082,"3/3/2009 0:00:00","WATER","","Domestic Well",278913,4100206,37.02,-107.48,"NWNE",15,"3 2"," 6","","LA PLATA                           ",23327,"",155
"22",450900,708085,"11/1/2007 0:00:00","WATER","","Domestic Well",281527,4100052,37.02,-107.45,"NWNW",13,"3 2"," 6","N","ARCHULETA                          ",164007,"",180
"23",450901,708085,"3/2/2009 0:00:00","WATER","","Domestic Well",281527,4100052,37.02,-107.45,"NWNW",13,"3 2"," 6","N","ARCHULETA                          ",164007,"",180
"24",450902,708086,"2/13/2008 0:00:00","WATER","","Domestic Well",280447,4099829,37.01,-107.46,"SWNE",14,"32 N","6 W","N","ARCHULETA                          ",178194,"",300
"25",450903,708086,"3/3/2009 0:00:00","WATER","","Domestic Well",280447,4099829,37.01,-107.46,"SWNE",14,"32 N","6 W","N","ARCHULETA                          ",178194,"",300
"26",450904,708087,"11/18/2003 0:00:00","WATER","","Domestic Well",283325,4099813,37.01,-107.43,"SENW",18,"32 N","5 W","N","ARCHULETA                          ",211161,"",115
"27",450905,708087,"12/7/2005 0:00:00","WATER","","Domestic Well",283325,4099813,37.01,-107.43,"SENW",18,"32 N","5 W","N","ARCHULETA                          ",211161,"",115
"28",450906,708087,"11/19/2008 0:00:00","WATER","","Domestic Well",283325,4099813,37.01,-107.43,"SENW",18,"32 N","5 W","N","ARCHULETA                          ",211161,"",115
"29",450907,708088,"12/7/2005 0:00:00","WATER","","Domestic Well",295943,4097974,37,-107.29,"SESW",21,"32 N","4 W","N","ARCHULETA                          ",NA,"",90
"30",450908,708088,"4/4/2007 0:00:00","WATER","","Domestic Well",295943,4097974,37,-107.29,"SESW",21,"32 N","4 W","N","ARCHULETA                          ",NA,"",90
"31",450909,708088,"4/26/2010 0:00:00","WATER","","Domestic Well",295943,4097974,37,-107.29,"SESW",21,"32 N","4 W","N","ARCHULETA                          ",NA,"",90
"32",450910,708089,"3/19/2008 0:00:00","WATER","","Domestic Well",278901,4100082,37.02,-107.48,"SWNE",15,"32 N","6 W","N","LA PLATA                           ",33359,"",215
