"","facility_id","facility_type","utm_x83","utm_y83","permit_number","receipt_number","well_depth","matrix","sample_id","sample_date","methane","ethane","propane","methane_units","delta_13c_c1","d13c_units","fraction","origin","wattenberg"
"1",703230,"Domestic Well",270500,4373724,"113065",NA,220,"GAS",468112,2006-09-11,41.87,1.86,0,"MOL %",-39.72,"per mil",22.510752688172,"Thermogenic",""
"2",703247,"Domestic Well",515253,4438714,"187790",NA,660,"GAS",468142,2003-07-01,63.72,10.97,2.11,"MOL %",-45.44,"per mil",4.87155963302752,"Thermogenic",""
"3",703281,"Domestic Well",525866,4458243,"6590","0280627",240,"GAS",468301,2006-05-30,27.15,2.95,0.52,"MOL %",-44.56,"per mil",7.82420749279539,"Thermogenic",""
"4",704597,"Domestic Well",521049,4452663,"258457","0525972",465,"GAS",475337,2005-12-15,80.45,6.29,2.42,"MOL %",-50.98,"per mil",9.23650975889782,"Thermogenic",""
"5",753031,"Domestic Well",516988,4118876,"184363","0377841",310,"WATER",535633,2013-11-01,87.89,2.3,1.08,"MOL %",-46.79,"per mil",26.0029585798817,"Thermogenic",""
"6",704130,"Domestic Well",505276,4447552,"265213","0542655",35,"GAS",471442,2004-08-26,72.17,13.96,6.33,"MOL %",-48.15,"per mil",3.55692459339576,"Thermogenic",""
"7",703216,"Domestic Well",520765,4454657,"202164",NA,430,"GAS",468057,1997-09-24,83.87,7.55,2.31,"MOL %",-47.1,"per mil",8.50608519269777,"Thermogenic",""
"8",757221,"Commercial",501809,4424776,"8994","9001203",1006,"GAS",468061,1990-03-06,85.2,10.2,2.98,"MOL %",-46.74,"per mil",6.46433990895296,"Thermogenic",""
"9",708101,"Groundwater",517342,4433064,"79088","9065546",866,"GAS",450935,2011-07-08,79.1,8.41,3.03,"MOL %",-51.74,"per mil",6.91433566433566,"Thermogenic",""
"10",705016,"Domestic Well",517140,4455116,"18151","0424206",320,"GAS",473645,2006-09-14,66.74,4.09,1.88,"MOL %",-51.07,"per mil",11.179229480737,"Thermogenic",""
"11",703204,"Domestic Well",240338,4110033,"220159",NA,500,"GAS",468026,2000-12-04,8.96,0.55,0.15,"MOL %",-42.29,"per mil",12.8,"Thermogenic",""
"12",750159,"Ground Water",522526,4451746,"99033","0092855",400,"GAS",530489,2010-09-23,74.94,3.88,0.58,"MOL %",-45.82,"per mil",16.8026905829596,"Thermogenic",""
"13",703353,"Domestic Well",274784,4100619,"183234",NA,240,"GAS",468536,2001-09-10,17.79,2.3,0.56,"MOL %",-48.13,"per mil",6.22027972027972,"Thermogenic",""
"14",703927,"Domestic Well",277291,4373425,"92355",NA,75,"GAS",465737,2009-12-16,33.73,0.37,0.04,"MOL %",-50.94,"per mil",82.2682926829268,"Thermogenic",""
"15",703697,"Domestic Well",519447,4436766,"230143","0467674",743,"GAS",464694,2002-12-12,70.68,16.32,6.43,"MOL %",-48.44,"per mil",3.10681318681319,"Thermogenic",""
"16",705592,"Domestic Well",528959,4442447,"201558",NA,685,"GAS",464303,2009-02-20,79.02,8.52,3.84,"MOL %",-54.9,"per mil",6.39320388349515,"Thermogenic",""
"17",705759,"Ground Water",520863,4455952,"166392",NA,369,"GAS",478449,2009-08-10,34.54,4.35,1.86,"MOL %",-51.56,"per mil",5.56199677938808,"Thermogenic",""
