facility_id,facility_type,utm_x83,utm_y83,well_depth,matrix,sample_id,sample_date,btex_above_mcl,benzene_ugl,toluene_ugl,ethylbenzene_ugl,mp_xylenes_ugl,o_xylene_ugl,tot_xylenes_ugl,methane_mgl,ethane_mgl,propane_mgl,butane_mgl,isobutane_mgl,pentane_mgl,hexanes_mgl,sum_btex,sum_alk_2-6,sum_alk_3-6,sum_alk_4-6,detected_btex,detected_ch4,detected_ethane_26,detected_propane_36,detected_butane_46,sampled_for_btex,sampled_for_ch4,sampled_for_alkanes,wattenberg,methane,ethane,propane,delta_13c_c1,fraction,origin,aquifer,notes,more_information,permit_number,receipt_number
700002,Domestic Well,519575,4436911,748,WATER,460930,1994-07-18,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,35966,NA
700003,Domestic Well,506824,4450727,645,WATER,460931,1994-07-18,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,37056,NA
700005,Domestic Well,517929,4440107,660,WATER,460933,1994-07-19,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,102749,NA
700006,Domestic Well,527025,4438760,680,WATER,460934,1994-07-19,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,22287,NA
700007,Domestic Well,512519,4437242,608,WATER,460935,1994-07-19,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,47625,NA
700008,Domestic Well,524507,4438822,85,WATER,460936,1994-07-19,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,47071,NA
700009,Domestic Well,510358,4446973,265,WATER,460937,1994-07-20,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,73068,NA
700011,Domestic Well,554166,4443898,80,WATER,460939,1994-07-20,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,9961,NA
700012,Domestic Well,556169,4441933,65,WATER,460940,1994-07-20,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,32630,NA
700013,Domestic Well,553323,4442317,440,WATER,460941,1994-07-20,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,85449,NA
700015,Domestic Well,534118,4445889,480,WATER,460943,1994-07-20,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,153762,NA
700017,Domestic Well,516275,4447231,36,WATER,460945,1994-07-21,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,92433,NA
700018,Domestic Well,515919,4450104,361,WATER,460946,1994-07-21,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,538890,2014-07-09,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,41.15,0.18,0.04,-68.87,187.04545454545453,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,538890,2014-07-09,FALSE,0,0,0,0,0,0,6.4,0.074,0.019,0,0,0,0,0,0.093,0.019,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,41.15,0.18,0.04,-68.87,187.04545454545453,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,538894,2014-07-09,FALSE,0,0,0,0,0,0,12,0.11,0.03,0,0,0,0,0,0.14,0.03,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,41.15,0.18,0.04,-68.87,187.04545454545453,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,543468,2015-05-07,FALSE,0,0,0,0,0,0,13,0.08,0.01,0,0,0,0,0,0.09,0.01,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,45.32,0.14,0.02,-69.78,283.25,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,543470,2015-05-07,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,45.32,0.14,0.02,-69.78,283.25,microbial,NA,NA,NA,18396,9062513
