facility_id,facility_type,utm_x83,utm_y83,well_depth,matrix,sample_id,sample_date,benzene_ugl,toluene_ugl,ethylbenzene_ugl,mp_xylenes_ugl,o_xylene_ugl,tot_xylenes_ugl,methane_mgl,ethane_mgl,propane_mgl,butane_mgl,isobutane_mgl,pentane_mgl,hexanes_mgl,sum_btex,sum_alk_2-6,sum_alk_3-6,sum_alk_4-6,detected_btex,detected_ch4,detected_ethane_26,detected_propane_36,detected_butane_46,btex_above_mcl,sampled_for_btex,sampled_for_ch4,sampled_for_alkanes,wattenberg,methane,ethane,propane,delta_13c_c1,fraction,origin,aquifer,notes,more_information,permit_number,receipt_number
700853,Stock or  Irrigation,430018,4190776,474,WATER,462605,1995-06-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,150152,NA
750055,Ground Water,518589,4439511,660,WATER,529932,2012-05-08,0,0,0,0,0,0,13.3,0.02,0,0,0,0,0,0,0.02,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,56.23,0.04,1e-4,-73.36,1402.2443890274312,microbial,NA,NA,NA,102749,0097793
703942,Irrigation,272085,4371068,277,WATER,466131,2005-09-07,0,0,0,0,0,0,0.0033,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,213138,NA
703942,Irrigation,272085,4371068,277,WATER,466132,2005-09-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,213138,NA
703942,Irrigation,272085,4371068,277,WATER,466139,2006-04-05,0,0,0,0,0,0,2.94e-4,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,213138,NA
703943,Domestic Well,273627,4368630,140,WATER,466141,2004-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,213134,NA
755488,Domestic Well,531388,4472618,30,WATER,556096,2016-10-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,97832,9066067
755489,Stock or  Irrigation,535298,4475690,74,WATER,556098,2017-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,65240,3625718
753698,Domestic Well,726690,4493787,210,WATER,546922,2015-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,46635,9053950
704221,Domestic Well,273755,4372314,300,WATER,474290,2004-11-18,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,259960,NA
