"","API_Number","Document.Number","Receive.Date","Operator.Number","Operator","Address","City","State","Zip.Code","API.State.Code","API.County.Code","API.Sequence.Number","Well.Name","Well.Number","Qtr.Qtr","Section","Township","Range","Shut.In.Injection.well","Last.approved.MIT","Test.Type","Describe.Repairs.or.Other.Activities.","Injection.Producing.Zones","Perforation.Interval","Open.Hole.Interval","Bridge.Cement.Plug.Depth","Test.Date","Well.Status.during.test","Casing.Before","Initial.Tubing","Final.Tubing","Start.Casing","X5.Min.Casing","X10.Min.Casing","Final.Casing","Loss.or.Gain","Witness","Date.Submitted","Form.Status","Status.Date","Latitude","Longitude","Utm_X","Utm_Y"
"1","05-001-06011",401814520,"11/8/2018 13:33:56",52530,"MAGPIE OPERATING, INC                             ","2707 SOUTH COUNTY RD 11                           ","LOVELAND                      ","CO","80537     ","05","001","06011","FAHK-GARRETT                       ","3              ","NWSW  ",4,"2S    ","57W    ","SHUT-IN             ","6/29/2015 0:00:00","SI/TA MAINTENANCE STATUS","-MIT due shut in status. CIBP 5650","JSND  ","5697-5692                     ","                         ","5650  ","10/23/2018 0:00:00","SI",0,0,0,350,350,340,340,-10,"Y","11/8/2018 13:33:56","APPROVED  ","11/20/2018 16:50:32",39.904952,-103.777728,604479,4417923
"2","05-001-06011",400866237,"7/13/2015 13:02:45",52530,"MAGPIE OPERATING, INC                             ","2707 SOUTH COUNTY RD 11                           ","LOVELAND                      ","CO","80537     ","05","001","06011","FAHK-GARRETT                       ","3              ","NWSW  ",4,"2S    ","57W    ","SHUT-IN             ","1/28/2008 0:00:00","SI/TA MAINTENANCE STATUS","-MIT","DJSND ","5610-5697                     ","                         ","      ","6/29/2015 0:00:00","SI",0,0,0,390,390,390,390,0,"Y","7/13/2015 13:02:45","APPROVED  ","9/1/2015 15:32:16",39.904952,-103.777728,604479,4417923
"3","05-001-06011",1237579,"2/1/2008 0:00:00",52530,"MAGPIE OPERATING, INC                             ","2707 SOUTH COUNTY RD 11                           ","LOVELAND                      ","CO","80537     ","05","001","06011","FAHK-GARRETT                       ","3              ","NWSW  ",4,"2S    ","57W    ","SHUT-IN             ","","SI/TA MAINTENANCE STATUS","-","JSND  ","5610-5697                     ","NA                       ","","1/28/2008 0:00:00","SI",0,50,50,550,550,550,550,0,"Y","","APPROVED  ","2/1/2008 0:00:00",39.904952,-103.777728,604479,4417923
"4","05-001-06025",2001197,"7/27/2011 0:00:00",95620,"WESTERN OPERATING COMPANY                         ","518 17TH ST  STE 1680                             ","DENVER                        ","CO","80202     ","05","001","06025","LINNEBUR                           ","32-8           ","SWNE  ",8,"3S    ","60W    ","INJECTION           ","6/1/2006 0:00:00","5-YEAR UIC TEST","-","DSND  ","6397-6441                     ","NA                       ","NA    ","7/22/2011 0:00:00","SI",0,0,0,400,400,400,400,0,"Y","7/22/2011 0:00:00","APPROVED  ","7/27/2011 0:00:00",39.80714,-104.12067,575271,4406722
"5","05-001-06025",401199375,"2/1/2017 11:38:19",95620,"WESTERN OPERATING COMPANY                         ","518 17TH ST  STE 200                              ","DENVER                        ","CO","80202     ","05","001","06025","LINNEBUR                           ","32-8           ","SWNE  ",8,"3S    ","60W    ","INJECTION           ","7/22/2011 0:00:00","5-YEAR UIC TEST","-","DSND  ","6397-6441                     ","                         ","      ","7/27/2016 0:00:00","IJ",0,0,0,390,390,390,385,-5,"Y","2/1/2017 11:38:19","APPROVED  ","3/27/2017 13:56:20",39.80714,-104.12067,575271,4406722
"6","05-001-06025",1237348,"6/1/2006 0:00:00",96155,"WHITING OIL AND GAS CORPORATION                   ","1700 BROADWAY  STE 2300                           ","DENVER                        ","CO","80290     ","05","001","06025","LINNEBUR                           ","32-8           ","SWNE  ",8,"3S    ","60W    ","INJECTION           ","11/15/2002 0:00:00","ANNUAL UIC TEST","-","DSND  ","6397-6441                     ","NA                       ","","6/1/2006 0:00:00","IJ",0,-1,-1,330,330,330,330,0,"Y","6/1/2006 0:00:00","APPROVED  ","5/31/2006 0:00:00",39.80714,-104.12067,575271,4406722
"7","05-001-06025",200035497,"3/3/2003 0:00:00",96155,"WHITING PETROLEUM CORPORATION                     ","1700 BROADWAY  STE 2300                           ","DENVER                        ","CO","80290     ","05","001","06025","FLADER EXTENSION                   ","1              ","SWNE  ",8,"3S    ","60W    ","INJECTION           ","","VERIFICATION OF REPAIRS","CASING LEAK-FOUND PORT COLLAR @651 LEAKING, CEMENTED WITH 25 SKS, REPAIRED CASING LEAK @ 1400 WITH 250 SKS","DSND  ","6397-6441                     ","","","11/15/2002 0:00:00","IJ",0,0,0,355,365,385,425,-70,"Y","11/15/2002 0:00:00","APPROVED  ","11/15/2002 0:00:00",39.80714,-104.12067,575271,4406722
"8","05-001-06025",1125322,"9/4/2003 0:00:00",96155,"WHITING PETROLEUM CORPORATION                     ","1700 BROADWAY  STE 2300                           ","DENVER                        ","CO","80290     ","05","001","06025","FLADER EXTENSION                   ","1              ","SWNE  ",8,"3S    ","60W    ","INJECTION           ","","5-YEAR UIC TEST","-","DSND  ","6397-6441                     ","","","5/25/2001 0:00:00","SI",0,0,0,480,560,650,730,250,"N","6/11/2001 0:00:00","APPROVED  ","6/25/2001 0:00:00",39.80714,-104.12067,575271,4406722
"9","05-001-06084",200036737,"3/27/2003 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","P O BOX 8221                                      ","DENVER                        ","CO","80201-8221","05","001","06084","DOUBLE BAR O                       ","2-18           ","NESE  ",18,"1S    ","60W    ","INJECTION           ","7/3/2001 0:00:00","5-YEAR UIC TEST","-","DSND  ","6438-6443                     ","NA                       ","NA    ","7/16/2002 0:00:00","IJ",0,120,120,375,375,375,375,0,"Y","7/16/2002 0:00:00","APPROVED  ","7/16/2002 0:00:00",39.96221,-104.13462,573910,4423921
"10","05-001-06084",1237197,"6/3/2004 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","410 17TH ST STE 1200                              ","DENVER                        ","CO","80202     ","05","001","06084","DOUBLE BAR O                       ","2-18           ","NESE  ",18,"1S    ","60W    ","INJECTION           ","7/10/2003 0:00:00","ANNUAL UIC TEST","-","DSND  ","6438-6443                     ","NA                       ","","6/2/2004 0:00:00","IJ",0,50,50,420,420,420,420,0,"Y","6/2/2004 0:00:00","APPROVED  ","6/3/2004 0:00:00",39.96221,-104.13462,573910,4423921
