"","SampleID","FacilityID","UtmX83","UtmY83","Sample.Date","Matrix","METHANE","ETHANE","PROPANE","DELTA 13C C1","fraction_c13c1"
"1",461137,700152,263756,4128741,"7/29/2009 0:00:00","GAS",398.3,0.1,0,-61.83,3983
"2",461160,700158,271742,4125622,"2/12/2001 0:00:00","GAS",911.9,0.5,0,-43.14,1823.8
"3",461166,700158,271742,4125622,"7/20/2005 0:00:00","GAS",940.7,0.8,0.075,-42.46,1075.08571428571
"4",461197,700162,265638,4123598,"1/3/2002 0:00:00","GAS",761.5,0.1,0,-62.61,7615
"5",461199,700162,265638,4123598,"1/25/2005 0:00:00","GAS",779,0.2,0,-62.62,3895
"6",461195,700162,265638,4123598,"11/22/2000 0:00:00","GAS",207.1,0.077,0,-62.62,2689.61038961039
"7",461214,700164,243392,4115084,"10/17/2002 0:00:00","GAS",510.4,0.6,0,-34.64,850.666666666667
"8",461224,700165,265663,4123532,"1/25/2005 0:00:00","GAS",382,0.1,0,-62.45,3820
"9",461222,700165,265663,4123532,"1/3/2002 0:00:00","GAS",372,0.088,0,-62.79,4227.27272727273
"10",461218,700165,265663,4123532,"11/22/2000 0:00:00","GAS",200.3,0.074,0,-61.82,2706.75675675676
"11",461237,700169,267964,4128500,"5/15/2001 0:00:00","GAS",867.3,0.5,0,-45.86,1734.6
"12",461241,700169,267964,4128500,"4/30/2002 0:00:00","GAS",868.1,0.4,0,-46.2,2170.25
"13",461330,700207,255714,4124343,"5/25/1998 0:00:00","GAS",275.3,3.8,0.093,-49.37,70.7166709478551
"14",461394,700225,257463,4126384,"9/10/2009 0:00:00","GAS",371.3,0.1,0,-61.12,3713
"15",461386,700225,257463,4126384,"7/3/1998 0:00:00","GAS",260.6,0.2,0.022,-62.06,1173.87387387387
"16",461389,700225,257463,4126384,"8/21/2002 0:00:00","GAS",445.4,0.2,0,-61.95,2227
"17",461392,700225,257463,4126384,"10/12/2006 0:00:00","GAS",496.1,0.2,0,-61.65,2480.5
"18",461425,700235,269613,4128738,"12/27/2000 0:00:00","GAS",177.9,0.076,0,-46.28,2340.78947368421
"19",461427,700235,269613,4128738,"11/5/2001 0:00:00","GAS",677.3,0.1,0,-46.41,6773
"20",461493,700257,244187,4100528,"6/16/1998 0:00:00","GAS",328,6,0.2,-51.69,52.9032258064516
"21",458778,700285,272732,4127297,"6/6/2002 0:00:00","GAS",264.1,0.2,0,-44.29,1320.5
"22",458785,700285,272732,4127297,"7/20/2005 0:00:00","GAS",187.1,1.5,0,-42.24,124.733333333333
"23",461637,700356,265188,4133204,"5/9/2006 0:00:00","GAS",198.6,0.075,0,-53.15,2648
"24",461820,700404,264183,4120245,"4/8/2009 0:00:00","GAS",466.3,0.1,0,-57.6,4663
"25",461829,700405,264583,4120388,"4/8/2009 0:00:00","GAS",219.3,0.1,0,-53.81,2193
"26",462183,700494,242164,4112067,"11/12/2002 0:00:00","GAS",806.7,56.7,26.4,-43.25,9.70758122743682
"27",462181,700494,242164,4112067,"5/21/1998 0:00:00","GAS",284.1,13.3,6.3,-43.23,14.4948979591837
"28",462416,700540,243160,4107440,"8/14/2006 0:00:00","GAS",331.5,5.2,0.2,-42.17,61.3888888888889
"29",463637,701811,242082,4112921,"5/8/2002 0:00:00","GAS",254,0.7,0,-38.03,362.857142857143
"30",463635,701811,242082,4112921,"7/27/2001 0:00:00","GAS",226.5,1.2,0.083,-36.69,176.539360872954
"31",466718,701819,244014,4109511,"6/19/1998 0:00:00","GAS",422.4,14.5,0.042,-41.54,29.0468986384266
"32",466844,701847,292118,4114420,"4/27/2009 0:00:00","GAS",276.4,0.061,0,-51.18,4531.14754098361
"33",467125,701892,244391,4104703,"2/28/2005 0:00:00","GAS",108.4,0.2,0,-44.3,542
"34",467141,701893,244334,4105398,"2/28/2005 0:00:00","GAS",100.8,0.2,0.1,-34.54,336
"35",467173,701896,271571,4124205,"7/14/2005 0:00:00","GAS",407.2,0.1,0,-49.11,4072
"36",467280,701913,265693,4127483,"2/10/2001 0:00:00","GAS",51.1,0.08,0.037,-67.19,436.752136752137
"37",467284,701913,265693,4127483,"4/26/2005 0:00:00","GAS",354.2,0.1,1.3,-68.82,253
"38",467282,701913,265693,4127483,"4/5/2002 0:00:00","GAS",312.9,0.086,0.6,-69.23,456.122448979592
"39",467297,701914,265854,4127634,"3/16/2005 0:00:00","GAS",221.5,0.078,0,-68.55,2839.74358974359
"40",467293,701914,265854,4127634,"5/31/2001 0:00:00","GAS",179.3,0.05,0,-69.95,3586
"41",467295,701914,265854,4127634,"4/19/2002 0:00:00","GAS",283.7,0.095,0,-70.08,2986.31578947368
