"","x"
"1","DELTA 18O H2O"
"2","ETHANE"
"3","PROPANE"
"4","ETHENE"
"5","POTASSIUM"
"6","ARSENIC"
"7","ETHYLBENZENE"
"8","BICARBONATE ALKALINITY as CACO3"
"9","SELENIUM"
"10","TOLUENE"
"11","BACTERIA, SULFATE REDUCING "
"12","BENZENE"
"13","BROMIDE"
"14","CALCIUM"
"15","CHLORIDE"
"16","CARBONATE ALKALINITY AS CACO3"
"17","SPECIFIC CONDUCTIVITY, FIELD"
"18","SPECIFIC CONDUCTIVITY"
"19","DISSOLVED OXYGEN, FIELD"
"20","DISSOLVED OXYGEN - SATURATION %"
"21","FLUORIDE"
"22","IRON"
"23","HYDROGEN SULFIDE"
"24","METHANE"
"25","MAGNESIUM"
"26","MANGANESE"
"27","METHYL-tert-BUTYL-ETHER (MTBE)"
"28","SODIUM"
"29","NITRATE"
"30","NITRITE"
"31","pH, FIELD"
"32","pH"
"33","SULFATE"
"34","TOTAL DISSOLVED SOLIDS"
"35","TOTAL DISSOLVED SOLIDS, CALCULATED FIELD"
"36","TEMPERATURE, FIELD"
"37","TURBIDITY, FIELD"
"38","m-+p-XYLENE"
"39","o-XYLENE"
"40","AMMONIA"
"41","BACTERIA, IRON RELATED"
"42","BACTERIA, SLIME FORMING"
"43","HYDROXIDE ALKALINITY AS CACO3"
"44","CHROMIUM"
"45","2-NITROPHENOL"
"46","BARIUM"
"47","TOTAL ALKALINITY AS CACO3"
"48","ARGON"
"49","TEPH DIESEL RANGE ORGANICS"
"50","PYRENE"
"51","1,3-DICHLOROBENZENE"
"52","BACTERIA, TOTAL COLIFORM"
"53","CADMIUM"
"54","COBALT"
"55","IRON, FIELD"
"56","MERCURY"
"57","MOLYBDENUM"
"58","NICKEL"
"59","NITRATE/NITRITE"
"60","LEAD"
"61","TOTAL XYLENES"
"62","BRITISH THERMAL UNITS"
"63","CARBON MONOXIDE"
"64","CARBON DIOXIDE"
"65","Helium"
"66","HEXANES"
"67","HYDROGEN"
"68","ISOBUTANE"
"69","ISOPENTANE"
"70","BUTANE"
"71","NITROGEN (N2)"
"72","PENTANE"
"73","OXYGEN (O2)"
"74","DISSOLVED OXYGEN"
"75","TVPH - Gasoline Range Organics"
"76","PROPENE"
"77","C6+ (hexanes +)"
"78","SPECIFIC GRAVITY"
"79","DELTA 13C C1"
"80","DELTA 13C C2"
"81","DELTA D C1"
"82","CATION - ANION BALANCE"
"83","HELIUM DILUTION FACTOR"
"84","DELTA 13C C3"
"85","NITRATE AS N"
"86","NITRITE AS N"
"87","BORON"
"88","STRONTIUM"
"89","PHOSPHORUS"
"90","NITRATE/NITRITE AS N"
"91","N-NITROSO-di-n-PROPYLAMINE"
"92","N-NITROSODIPHENYLAMINE"
"93","PENTACHLOROPHENOL"
"94","PHENANTHRENE"
"95","PHENOL"
"96","PYRIDINE"
"97","1-METHYLNAPHTHALENE"
"98","2-METHYLNAPHTHALENE"
"99","ACENAPHTHENE"
"100","ACENAPHTHYLENE"
"101","ANTHRACENE"
"102","TURBIDITY"
"103","ZINC"
"104","SILVER"
"105","ALUMINUM"
"106","BACTERIA, FECAL COLIFORM"
"107","GROUNDWATER ELEVATION (MSL)"
"108","CALCIUM HARDNESS"
"109","TOTAL PETROLEUM HYDROCARBONS (sum of TVPH and TEPH)"
"110","TEMPERATURE"
"111","SULFIDE"
"112","DELTA 13C DIC"
"113","DELTA D H2O"
"114","OIL AND GREASE"
"115","HARDNESS (AS CACO3)"
"116","BENZO(k)FLUORANTHENE"
"117","CHRYSENE"
"118","DIBENZ(a,h)ANTHRACENE"
"119","FLUORANTHENE"
"120","FLUORENE"
"121","INDENO(1,2,3-cd)PYRENE"
"122","NAPHTHALENE"
"123","1,1,1,2-TETRACHLOROETHANE"
"124","1,1,1-TRICHLOROETHANE"
"125","1,1,2,2-TETRACHLOROETHANE"
"126","1,1,2-TRICHLORO-1,2,2-TRIFLUOROETHANE"
"127","1,1,2-TRICHLOROETHANE"
"128","1,1-DICHLOROETHANE"
"129","1,1-DICHLOROETHENE"
"130","1,1-DICHLOROPROPENE"
"131","1,2,3-TRICHLOROBENZENE"
"132","1,2,3-TRICHLOROPROPANE"
"133","1,2,4-TRICHLOROBENZENE"
"134","1,2,4-TRIMETHYLBENZENE"
"135","1,2-DIBROMO-3-CHLOROPROPANE "
"136","1,2-DIBROMOETHANE"
"137","1,2-DICHLOROBENZENE"
"138","1,2-DICHLOROETHANE"
"139","1,2-DICHLOROPROPANE"
"140","1,3,5-TRIMETHYLBENZENE"
"141","1,3-DICHLOROPROPANE"
"142","1,4-DICHLOROBENZENE"
"143","1-CHLOROHEXANE"
"144","2,2-DICHLOROPROPANE"
"145","2-BUTANONE"
"146","2-CHLOROTOLUENE"
"147","2-HEXANONE"
"148","4-CHLOROTOLUENE"
"149","4-ISOPROPYLTOLUENE"
"150","4-METHYL-2-PENTANONE"
"151","ACETONE"
"152","BROMOBENZENE"
"153","BROMOCHLOROMETHANE"
"154","BROMODICHLOROMETHANE"
"155","BROMOFORM"
"156","BROMOMETHANE"
"157","CARBON DISULFIDE"
"158","CARBON TETRACHLORIDE"
"159","CHLOROBENZENE"
"160","CHLOROETHANE"
"161","CHLOROFORM"
"162","CHLOROMETHANE"
"163","cis-1,2-DICHLOROETHENE"
"164","cis-1,3-DICHLOROPROPENE"
"165","DIBROMOCHLOROMETHANE"
"166","DIBROMOMETHANE"
"167","DICHLORODIFLUOROMETHANE"
"168","DICHLOROMETHANE (methylene chloride)"
"169","HEXACHLORO-1,3-BUTADIENE"
"170","IODOMETHANE"
"171","ISOPROPYLBENZENE"
"172","N-BUTYLBENZENE"
"173","n-PROPYLBENZENE"
"174","sec-BUTYLBENZENE"
"175","STYRENE"
"176","tert-BUTYLBENZENE"
"177","TETRACHLOROETHENE"
"178","trans-1,2-DICHLOROETHENE"
"179","trans-1,3-DICHLOROPROPENE"
"180","TRICHLOROETHENE"
"181","TRICHLOROFLUOROMETHANE"
"182","VINYL ACETATE"
"183","VINYL CHLORIDE"
"184","ANTIMONY"
"185","COPPER"
"186","THALLIUM"
"187","THORIUM"
"188","URANIUM"
"189","BERYLLIUM"
"190","LITHIUM"
"191","SILICON (Si)"
"192","SODIUM ADSORPTION RATIO"
"193","VANADIUM"
"194","TOTAL ORGANIC CARBON"
"195","METHANE, FIELD"
"196","HARDNESS, TOTAL"
"197","BENZ(a)ANTHRACENE"
"198","BENZO(a)PYRENE"
"199","BENZO(b)FLUORANTHENE"
"200","BENZO(ghi)PERYLENE"
"201","HYDROGEN SULFIDE, FIELD"
"202","Bacteria, Fecal + Total Coliform"
"203","2,4,5-TRICHLOROPHENOL"
"204","2,4,6-TRICHLOROPHENOL"
"205","2,4-DICHLOROPHENOL"
"206","2,4-DIMETHYLPHENOL"
"207","2,4-DINITROPHENOL"
"208","2,4-DINITROTOLUENE"
"209","2,6-DINITROTOLUENE"
"210","2-CHLORONAPHTHALENE"
"211","2-CHLOROPHENOL"
"212","2-METHYLPHENOL"
"213","2-NITROANILINE"
"214","3,3'-DICHLOROBENZIDINE"
"215","Nitrite as NO2"
"216","MBAS (mol.wt 320)"
"217","TOTAL SUSPENDED SOLIDS"
"218","Carbonate as CaCO3"
"219","SULFUR"
"220","GROSS ALPHA"
"221","GROSS BETA"
"222","4-CHLORO-3-METHYLPHENOL"
"223","4,6-DINITRO-2-METHYLPHENOL"
"224","4-NITROPHENOL"
"225","ACROLEIN"
"226","ACRYLONITRILE"
"227","HEM (Oil and Grease)                    "
"228","222RADON"
"229","Total Recoverable Petroleum Hydrocarbons"
"230","MEASURED H2O FLOW"
"231","DELTA 13C CO2"
"232","SUM OF ANIONS"
"233","SUM OF CATIONS"
"234","TOTAL DISSOLVED SOLIDS, CALCULATED LAB"
"235","COLOR"
"236","SILICA (SiO2)"
"237","RESISTIVITY"
"238","3-NITROANILINE"
"239","4-BROMOPHENYL PHENYL ETHER"
"240","4-CHLOROANILINE"
"241","4-CHLOROPHENYL PHENYL ETHER"
"242","4-METHYLPHENOL"
"243","4-NITROANILINE"
"244","BENZOIC ACID"
"245","BENZYL ALCOHOL"
"246","bis(2-CHLOROETHOXY)METHANE"
"247","bis(2-CHLOROETHYL)ETHER"
"248","bis(2-ETHYLHEXYL)PHTHALATE"
"249","BUTYL BENZYL PHTHALATE"
"250","214BISMUTH"
"251","214LEAD"
"252","TRITIUM"
"253","AMMONIUM"
"254","ORTHOPHOSPHATE"
"255","SALINITY"
"256","1,2,3-TRIMETHYLBENZENE"
"257","1,4-DIOXANE"
"258","2-CHLOROETHYL VINYL ETHER"
"259","ALLYL CHLORIDE"
"260","ACETONITRILE"
"261","2-BUTOXYETHANOL"
"262","CHLOROPRENE"
