"","OBJECTID","facility_id","facility_type","permit_number","receipt_number","ch4_sampled","btex_sampled","nearest_og","nearest_scp","nearest_cscp","btex_detected","ch4_detected"
"1",2,"700002","Domestic Well","35966",NA,"yes","no",2.82842712474619,475.382664669472,910.506068125843,"btex not detected","ch4 not detected"
"2",3,"700003","Domestic Well","37056",NA,"yes","no",9.4339811320566,786.289588849332,786.289588849332,"btex not detected","ch4 not detected"
"3",5,"700005","Domestic Well","102749",NA,"yes","no",1,1552.40685955105,2680.6158424858,"btex not detected","ch4 not detected"
"4",6,"700006","Domestic Well","22287",NA,"yes","no",13.9283882771841,558.603092408428,1812.7588270675,"btex not detected","ch4 not detected"
"5",7,"700007","Domestic Well","47625",NA,"yes","no",173.979883894662,724.796186401092,1239.77478976911,"btex not detected","ch4 not detected"
"6",8,"700008","Domestic Well","47071",NA,"yes","no",17.2046505340853,1123.70600829409,1153.85248458606,"btex not detected","ch4 not detected"
"7",9,"700009","Domestic Well","73068",NA,"yes","no",23.7697286480094,422.032214587694,422.032214587694,"btex not detected","ch4 not detected"
"8",11,"700011","Domestic Well","9961",NA,"yes","no",6.08276253029822,3039.72820994668,3039.72820994668,"btex not detected","ch4 not detected"
"9",12,"700012","Domestic Well","32630",NA,"yes","no",8.48528137423857,1133.4340054791,1133.4340054791,"btex not detected","ch4 not detected"
"10",13,"700013","Domestic Well","85449",NA,"yes","no",1,3673.6094996948,3673.6094996948,"btex not detected","ch4 not detected"
"11",15,"700015","Domestic Well","153762",NA,"yes","no",1.4142135623731,472.696279610038,1300.50098516844,"btex not detected","ch4 not detected"
"12",16,"700017","Domestic Well","92433",NA,"yes","no",8.06225774829855,1060.77906023901,1462.11244620387,"btex not detected","ch4 not detected"
"13",17,"700018","Domestic Well","18396","9062513","yes","yes",49.254441424099,17.9161762401938,51.4314606083475,"btex not detected","ch4 detected"
"14",18,"700019","Domestic Well","160044","0325387","yes","yes",176.705970470723,216.144930121459,528.176057729612,"btex not detected","ch4 not detected"
"15",19,"700020","Domestic Well","162136",NA,"yes","no",26,386.378922958834,537.855829983506,"btex not detected","ch4 not detected"
"16",20,"700021","Domestic Well","159946",NA,"yes","no",12.369316876853,292.055398652176,1031.97473098178,"btex not detected","ch4 not detected"
"17",22,"700024","Domestic Well","20190","9062744","yes","no",15.6204993518133,331.719938593203,521.435730875575,"btex not detected","ch4 not detected"
"18",23,"700025","Domestic Well","45670",NA,"yes","no",4.47213595499958,588.771376955751,980.150591302693,"btex not detected","ch4 not detected"
"19",24,"700026","Domestic Well","159626",NA,"yes","no",0,585.076705517923,600.565160191682,"btex not detected","ch4 not detected"
"20",25,"700027","Domestic Well","10042",NA,"yes","no",25,1253.17890504496,1299.39475236572,"btex not detected","ch4 not detected"
"21",27,"700029","Domestic Well","13431",NA,"yes","no",235.308308395603,784.008281415644,795.997463373325,"btex not detected","ch4 not detected"
"22",28,"700030","Domestic Well","40837",NA,"yes","no",40,339.463780062853,339.529528427708,"btex not detected","ch4 not detected"
"23",30,"700032","Domestic Well","48732",NA,"yes","no",29,352.823348614612,420.628425333872,"btex not detected","ch4 not detected"
"24",32,"700034","Domestic Well","170415",NA,"yes","no",13.0384048104053,403.429418028526,1127.06082292272,"btex not detected","ch4 not detected"
"25",33,"700035","Domestic Well","92244",NA,"yes","no",16.0312195418814,884.194551667737,1654.09956651815,"btex not detected","ch4 not detected"
"26",34,"700036","Domestic Well","218109",NA,"yes","no",8.54400374531753,682.471107275398,2020.75546905921,"btex not detected","ch4 not detected"
"27",35,"700037","Domestic Well","18802",NA,"yes","no",7.28010988928052,1678.59015169044,1716.86237808019,"btex not detected","ch4 not detected"
"28",36,"700038","Domestic Well","78833",NA,"yes","no",22,1955.96388525533,12135.1897341606,"btex not detected","ch4 not detected"
"29",37,"700039","Domestic Well","68855",NA,"yes","yes",189.401689538399,199.268782725377,523.493209725298,"btex not detected","ch4 not detected"
"30",38,"700040","Domestic Well","77924","9065472","yes","yes",177.053664181231,186.994931126517,845.013476941063,"btex not detected","ch4 not detected"
"31",39,"702121","Ground Water","164715","0338229","yes","yes",37.4833296279826,1426.74227128712,2125.87622795837,"btex not detected","ch4 detected"
"32",40,"702122","Domestic Well","174778",NA,"yes","yes",21.0237960416286,934.81535904589,2018.02862950605,"btex not detected","ch4 not detected"
"33",42,"703206","Domestic Well","76216",NA,"yes","yes",163.248277173145,1108.82031942293,1838.23775256834,"btex not detected","ch4 not detected"
"34",44,"703209","Domestic Well","173897",NA,"yes","yes",139.463256809814,989.529335015064,1974.12375346469,"btex not detected","ch4 not detected"
"35",45,"703215","Domestic Well","173127",NA,"yes","yes",168.243870616436,477.920811000156,1627.32867368258,"btex not detected","ch4 not detected"
"36",46,"703216","Domestic Well","202164",NA,"yes","yes",97.8008179924892,384.337014331175,658.881816902559,"btex not detected","ch4 not detected"
"37",47,"703246","Domestic Well","208899","3631340","yes","yes",170.343770065124,630.087662675783,664.318310729811,"btex not detected","ch4 not detected"
"38",48,"703247","Domestic Well","187790",NA,"yes","yes",240.168690715505,353.697424569771,353.697424569771,"btex not detected","ch4 not detected"
"39",49,"703278","Domestic Well","175612","0362081","yes","yes",93.7229961108798,783.889349093628,2059.4806797042,"btex not detected","ch4 detected"
"40",51,"703281","Domestic Well","6590","0280627","yes","yes",128.140547837131,1360.20089615297,1360.20089615297,"btex not detected","ch4 detected"
"41",52,"703282","Domestic Well","214678",NA,"yes","yes",124.036285013701,615.1356977507,1126.70670126712,"btex not detected","ch4 not detected"
"42",62,"703548","Domestic Well","220547","0450998","yes","yes",218.277346511268,408.999031746969,408.999031746969,"btex detected","ch4 detected"
"43",64,"703550","Domestic Well","212870","0434292","yes","yes",157.632483961904,754.033023286005,849.842855870193,"btex not detected","ch4 detected"
"44",65,"703551","Domestic Well","185114","0379527","yes","yes",185.698680663057,529.915389405664,529.915389405664,"btex not detected","ch4 detected"
"45",66,"703697","Domestic Well","230143","0467674","yes","yes",193.258893715141,662.240693763177,996.79825838962,"btex not detected","ch4 detected"
"46",67,"703698","Domestic Well","35966","9063815","yes","yes",32.3882694814033,504.096508159877,943.960852569306,"btex detected","ch4 detected"
"47",68,"703802","Groundwater","53140","0453790B","yes","no",402.782819891812,7274.43083721,9473.02142724262,"btex not detected","ch4 detected"
"48",69,"703862","Domestic Well","87773","9065845","yes","yes",161.245154965971,372.984564764466,715.548312356441,"btex not detected","ch4 detected"
"49",70,"703873","Domestic Well","127601",NA,"yes","yes",175.328263551545,1362.57719770364,4160.21848920431,"btex not detected","ch4 not detected"
"50",71,"703874","Domestic Well","217420","0518333","yes","yes",120.341181646185,1385.56836349689,1525.24884717227,"btex not detected","ch4 detected"
"51",72,"703881","Domestic Well","214568",NA,"yes","yes",193.328735577513,314.959362396817,805.781194954533,"btex not detected","ch4 not detected"
"52",73,"703884","Domestic Well","226872","04600057","yes","yes",131.400152206913,310.263646316508,2560.19368678487,"btex detected","ch4 detected"
"53",74,"704130","Domestic Well","265213","0542655","yes","yes",22.0227155455452,22.0153459529968,22.0153459529968,"btex not detected","ch4 detected"
"54",75,"704171","Domestic Well","97796",NA,"yes","yes",239.827020996384,1848.89297444066,5029.94482817836,"btex not detected","ch4 not detected"
"55",76,"704172","Domestic Well","93689",NA,"yes","yes",318.849494275904,1572.60399802344,4550.37374415719,"btex not detected","ch4 not detected"
"56",77,"704173","Domestic Well","94043",NA,"yes","yes",219.829479369806,1684.78465835214,4667.88542699157,"btex not detected","ch4 not detected"
"57",78,"704174","Domestic Well","156126",NA,"yes","yes",418.809025690708,2058.83543374362,5158.22027123239,"btex not detected","ch4 not detected"
"58",79,"704199","Domestic Well","92951",NA,"yes","yes",170.83617883809,1745.57703341148,4729.87687254321,"btex not detected","ch4 not detected"
"59",80,"704360","Domestic Well","260927",NA,"yes","yes",56.5154846037792,1641.54909738526,7129.5532314674,"btex not detected","ch4 not detected"
