"","SampleID","FacilityID","Facility.Type","UtmX83","UtmY83","Latitude83","Longitude83","QuarterQuarter","Section","Township","Range","Meridian","County","PermitNumber","ReceiptNumber","WellDepth","Sample.Date","Matrix","Sample.Reason","ResultID","MethodCode","ParamDescription","ResultValue","Qualifier","Units","FractionType","DetectionLimit"
"1",450894,707302,"Ground Water",524794,4443918,40.14,-104.7,"NENW",18,"2 N","65 W","6","WELD                               ",213305,"",690,"5/11/2011 0:00:00","GAS","",71630538,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-71.93,"","per mil VPDB","",NA
"2",450894,707302,"Ground Water",524794,4443918,40.14,-104.7,"NENW",18,"2 N","65 W","6","WELD                               ",213305,"",690,"5/11/2011 0:00:00","GAS","",71630540,"UnSpecified-Older data may not contain method info","DELTA 13C C2",-48.3,"","per mil VPDB","",NA
"3",450935,708101,"Groundwater",517342,4433064,40.04,-104.79,"NWSE",17,"1 N","66 W","6","WELD                               ",79088,"9065546",866,"7/8/2011 0:00:00","GAS","",71509193,"UnSpecified-Older data may not contain method info","DELTA 13C C3",-26.47,"","per mil VPDB","",NA
"4",450935,708101,"Groundwater",517342,4433064,40.04,-104.79,"NWSE",17,"1 N","66 W","6","WELD                               ",79088,"9065546",866,"7/8/2011 0:00:00","GAS","",71509191,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-51.74,"","per mil VPDB","",NA
"5",450935,708101,"Groundwater",517342,4433064,40.04,-104.79,"NWSE",17,"1 N","66 W","6","WELD                               ",79088,"9065546",866,"7/8/2011 0:00:00","GAS","",71509194,"UnSpecified-Older data may not contain method info","DELTA 13C C2",-30.78,"","per mil VPDB","",NA
"6",450956,708073,"Ground Water",530862,4102200,37.06,-104.65,"SESE",22,"34 S","65 W","6","LAS ANIMAS                         ",NA,"",440,"4/4/2011 0:00:00","GAS","",71757778,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-37.48,"","per mil VPDB","",NA
"7",450958,708075,"Ground Water",524477,4122274,37.24,-104.72,"SENE",24,"32 S","66 W","6","LAS ANIMAS                         ",242392,"",533,"4/11/2011 0:00:00","GAS","",71379051,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-61.69,"","per mil VPDB","",NA
"8",450959,704235,"Domestic Well",517383,4117569,37.2,-104.8,"NW",5,"33 S","66 W","6","LAS ANIMAS                         ",NA,"",NA,"5/3/2011 0:00:00","GAS","",71409776,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-42,"","per mil VPDB","",NA
"9",450962,708096,"Domestic Well",521055,4121693,37.24,-104.76,"NWSE",22,"32 S","66 W","6","LAS ANIMAS                         ",258222,"",427,"4/12/2011 0:00:00","GAS","",71548991,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-46.12,"","per mil VPDB","",NA
"10",450964,708098,"Domestic Well",522637,4120578,37.23,-104.74,"SENE",26,"32 S","66 W","6","LAS ANIMAS                         ",173003,"",593,"4/27/2011 0:00:00","GAS","",71549206,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-56.56,"","per mil VPDB","",NA
"11",450965,708099,"Domestic Well",517770,4117079,37.2,-104.79,"SWSE",32,"32 S","66 W","6","LAS ANIMAS                         ",104308,"",104,"4/27/2011 0:00:00","GAS","Rule 608 Pre drill",71663702,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-62.67,"","per mil VPDB","",NA
"12",451041,708164,"Domestic Well",535954,4453854,40.23,-104.57,"sesw",8,"3 N","64 W","6","WELD                               ",38582,"9064086",242,"2/5/2009 0:00:00","GAS","",71611035,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-73.61,"","per mil VPDB","",NA
"13",451062,708165,"Ground Water",517678,4444218,40.14,-104.79,"SESE",8,"2 N","66 W","6","WELD                               ",264754,"0539754 ",615,"7/27/2011 0:00:00","GAS","",71805577,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-71.38,"","per mil VPDB","",NA
"14",451062,708165,"Ground Water",517678,4444218,40.14,-104.79,"SESE",8,"2 N","66 W","6","WELD                               ",264754,"0539754 ",615,"7/27/2011 0:00:00","GAS","",71805579,"UnSpecified-Older data may not contain method info","DELTA 13C C2",-47.4,"","per mil VPDB","",NA
