"","SampleID","FacilityID","Facility.Type","UtmX83","UtmY83","Latitude83","Longitude83","QuarterQuarter","Section","Township","Range","Meridian","County","PermitNumber","ReceiptNumber","WellDepth","Sample.Date","Matrix","Sample.Reason","ResultID","MethodCode","ParamDescription","ResultValue","Qualifier","Units","FractionType","DetectionLimit"
"1",450894,707302,"Ground Water",524794,4443918,40.14,-104.7,"NENW",18,"2 N","65 W","6","WELD                               ",213305,"",690,"5/11/2011 0:00:00","GAS","",71630538,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-71.93,"","per mil","",NA
"2",450935,708101,"Groundwater",517342,4433064,40.04,-104.79,"NWSE",17,"1 N","66 W","6","WELD                               ",79088,"9065546",866,"7/8/2011 0:00:00","GAS","",71509191,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-51.74,"","per mil","",NA
"3",450958,708075,"Ground Water",524477,4122274,37.24,-104.72,"SENE",24,"32 S","66 W","6","LAS ANIMAS                         ",242392,"",533,"4/11/2011 0:00:00","GAS","",71379051,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-61.69,"","per mil","",NA
"4",450962,708096,"Domestic Well",521055,4121693,37.24,-104.76,"NWSE",22,"32 S","66 W","6","LAS ANIMAS                         ",258222,"",427,"4/12/2011 0:00:00","GAS","",71548991,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-46.12,"","per mil","",NA
"5",451062,708165,"Ground Water",517678,4444218,40.14,-104.79,"SESE",8,"2 N","66 W","6","WELD                               ",264754,"0539754 ",615,"7/27/2011 0:00:00","GAS","",71805577,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-71.38,"","per mil","",NA
"6",454344,703410,"Domestic Well",256494,4123345,37.22,-107.74,"SESE",9,"34 N","8 W","N","LA PLATA                           ",NA,"",170,"5/9/2002 0:00:00","GAS","",71356204,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-70.74,"","per mil","",NA
"7",454346,703410,"Domestic Well",256494,4123345,37.22,-107.74,"SESE",9,"34 N","8 W","N","LA PLATA                           ",NA,"",170,"5/18/2005 0:00:00","GAS","",71591944,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-70.57,"","per mil","",NA
"8",454398,703423,"Ground Water",263367,4121039,37.2,-107.66,"E2",12,"34 N","8 W","M","LA PLATA                           ",170121,"0352998 ",200,"7/30/2002 0:00:00","GAS","",71356248,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-57.69,"","per mil","",NA
"9",454402,703423,"Ground Water",263367,4121039,37.2,-107.66,"E2",12,"34 N","8 W","M","LA PLATA                           ",170121,"0352998 ",200,"1/24/2008 0:00:00","GAS","",71815068,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-64.32,"","per mil","",NA
"10",454408,703423,"Ground Water",263367,4121039,37.2,-107.66,"E2",12,"34 N","8 W","M","LA PLATA                           ",170121,"0352998 ",200,"8/12/2009 0:00:00","GAS","",71627987,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-61.95,"","per mil","",NA
