"","SampleID","FacilityID","Facility.Type","UtmX83","UtmY83","Latitude83","Longitude83","QuarterQuarter","Section","Township","Range","Meridian","County","PermitNumber","ReceiptNumber","WellDepth","Sample.Date","Matrix","Sample.Reason","ResultID","MethodCode","ParamDescription","ResultValue","Qualifier","Units","FractionType","DetectionLimit"
"1",458246,704717,"Ground Water",270136,4385253,39.58,-107.67,"SENE",26,"5 S","92 W","6","GARFIELD                           ",50351,"0401304E",305,"8/16/2006 0:00:00","WATER","",71764933,"UnSpecified-Older data may not contain method info","TOLUENE",2.4,"","ug/L","",0.5
"2",458325,704769,"Ground Water",538528,4419631,39.92,-104.54,"NENE",33,"1 S","64 W","6","ADAMS                              ",244247,"",400,"10/6/2006 0:00:00","WATER","Complaint Investigation",71404018,"UnSpecified-Older data may not contain method info","BENZENE",75.6,"U","ug/L","",0.5
"3",458389,704783,"Domestic Well",257522,4376462,39.5,-107.82,"NENW",30,"6 S","93 W","6","GARFIELD                           ",170967,"",250,"10/18/2005 0:00:00","WATER","",71404898,"SW-846 method 8021 AROMATIC AND HALOGENATED VOLATI","TOLUENE",1.02,"","ug/L","",1
"4",458429,704798,"Domestic Well",257705,4377641,39.51,-107.81,"",19,"","93W ","6","GARFIELD                           ",247477,"",160,"11/13/2006 0:00:00","WATER","",71422739,"SW-846 method 8021 AROMATIC AND HALOGENATED VOLATI","TOLUENE",1.26,"","ug/L","",1
"5",458435,704799,"Domestic Well",257867,4377661,39.51,-107.81,"",19,"","93W ","6","GARFIELD                           ",262716,"",145,"11/13/2006 0:00:00","WATER","",71422908,"SW-846 method 8021 AROMATIC AND HALOGENATED VOLATI","TOLUENE",3.81,"","ug/L","",1
"6",458435,704799,"Domestic Well",257867,4377661,39.51,-107.81,"",19,"","93W ","6","GARFIELD                           ",262716,"",145,"11/13/2006 0:00:00","WATER","",71422881,"SW-846 method 8021 AROMATIC AND HALOGENATED VOLATI","BENZENE",2.18,"","ug/L","",1
"7",458435,704799,"Domestic Well",257867,4377661,39.51,-107.81,"",19,"","93W ","6","GARFIELD                           ",262716,"",145,"11/13/2006 0:00:00","WATER","",71422909,"SW-846 method 8021 AROMATIC AND HALOGENATED VOLATI","TOTAL XYLENES",3.68,"","ug/L","",3
"8",458487,704811,"Domestic Well",257531,4376454,NA,NA,"",70,"","93W ","6","GARFIELD                           ",170967,"",250,"10/18/2005 0:00:00","WATER","",71283595,"SW-846 method 8021 AROMATIC AND HALOGENATED VOLATI","TOLUENE",1.02,"","ug/L","",1
"9",458507,704821,"Domestic Well",601201,4449006,NA,NA,"NENE",36,"3 N","58 W","","MORGAN                             ",NA,"",-999,"11/29/2006 0:00:00","","",71433155,"UnSpecified-Older data may not contain method info","TOLUENE",1.6,"","ug/L","",1
"10",462719,700923,"Stock or  Irrigation",552139,4441091,40.11,-104.38,"SESW",24,"2 N","63 W","6","WELD                               ",NA,"",85,"4/20/1996 0:00:00","WATER","",71289693,"UnSpecified-Older data may not contain method info","TOTAL XYLENES",0.6,"","ug/L","",0.4
"11",462720,700923,"Stock or  Irrigation",552139,4441091,40.11,-104.38,"SESW",24,"2 N","63 W","6","WELD                               ",NA,"",85,"4/20/1996 0:00:00","WATER","",71289697,"UnSpecified-Older data may not contain method info","TOTAL XYLENES",0.5,"","ug/L","",0.4
"12",462721,700923,"Stock or  Irrigation",552139,4441091,40.11,-104.38,"SESW",24,"2 N","63 W","6","WELD                               ",NA,"",85,"4/20/1996 0:00:00","WATER","",71289701,"UnSpecified-Older data may not contain method info","TOTAL XYLENES",0.6,"","ug/L","",0.4
"13",462722,700923,"Stock or  Irrigation",552139,4441091,40.11,-104.38,"SESW",24,"2 N","63 W","6","WELD                               ",NA,"",85,"4/29/1996 0:00:00","WATER","",71289702,"UnSpecified-Older data may not contain method info","BENZENE",2,"","ug/L","",0.4
