"","facility_id","facility_type","utm_x83","utm_y83","permit_number","receipt_number","well_depth","matrix","sample_id","sample_date","benzene_ugl","toluene_ugl","ethylbenzene_ugl","mp_xylenes_ugl","o_xylene_ugl","tot_xylenes_ugl","methane_mgl","btex_sum","btex_det","wattenberg"
"1",700018,"Domestic Well",515919,4450104,"18396","9062513",361,"WATER",538890,2014-07-09,NA,NA,NA,NA,NA,NA,6.4,0,FALSE,TRUE
"2",700018,"Domestic Well",515919,4450104,"18396","9062513",361,"WATER",543470,2015-05-07,NA,NA,NA,NA,NA,NA,5.46,0,FALSE,TRUE
"3",700018,"Domestic Well",515919,4450104,"18396","9062513",361,"WATER",545599,2015-09-01,NA,NA,NA,NA,NA,NA,5.83,0,FALSE,TRUE
"4",700018,"Domestic Well",515919,4450104,"18396","9062513",361,"WATER",546722,2015-11-04,NA,NA,NA,NA,NA,NA,4.84,0,FALSE,TRUE
"5",700018,"Domestic Well",515919,4450104,"18396","9062513",361,"WATER",547894,2016-01-04,NA,NA,NA,NA,NA,NA,5.97,0,FALSE,TRUE
"6",700018,"Domestic Well",515919,4450104,"18396","9062513",361,"WATER",549304,2016-03-03,NA,NA,NA,NA,NA,NA,5.05,0,FALSE,TRUE
"7",700018,"Domestic Well",515919,4450104,"18396","9062513",361,"WATER",550459,2016-05-04,NA,NA,NA,NA,NA,NA,6.28,0,FALSE,TRUE
"8",700018,"Domestic Well",515919,4450104,"18396","9062513",361,"WATER",553604,2016-07-06,NA,NA,NA,NA,NA,NA,3.76,0,FALSE,TRUE
"9",700018,"Domestic Well",515919,4450104,"18396","9062513",361,"WATER",554401,2016-09-08,NA,NA,NA,NA,NA,NA,4.2,0,FALSE,TRUE
"10",700018,"Domestic Well",515919,4450104,"18396","9062513",361,"WATER",555176,2016-11-09,NA,NA,NA,NA,NA,NA,2.65,0,FALSE,TRUE
"11",700018,"Domestic Well",515919,4450104,"18396","9062513",361,"WATER",556656,2017-03-07,NA,NA,NA,NA,NA,NA,4.74,0,FALSE,TRUE
"12",700018,"Domestic Well",515919,4450104,"18396","9062513",361,"WATER",559898,2017-06-20,NA,NA,NA,NA,NA,NA,1.64,0,FALSE,TRUE
"13",700018,"Domestic Well",515919,4450104,"18396","9062513",361,"WATER",561230,2017-09-14,NA,NA,NA,NA,NA,NA,4.28,0,FALSE,TRUE
