"","facility_id","facility_type","utm_x83","utm_y83","permit_number","receipt_number","well_depth","wattenberg","btex_sampled","ch4_sampled","btex_detected","ch4_detected","methane","ethane","propane","fraction","delta_13c_c1","origin"
"1","700002","Domestic Well",519575,4436911,"35966",NA,748,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"2","700003","Domestic Well",506824,4450727,"37056",NA,645,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"3","700005","Domestic Well",517929,4440107,"102749",NA,660,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"4","700006","Domestic Well",527025,4438760,"22287",NA,680,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"5","700007","Domestic Well",512519,4437242,"47625",NA,608,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"6","700008","Domestic Well",524507,4438822,"47071",NA,85,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"7","700009","Domestic Well",510358,4446973,"73068",NA,265,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"8","700011","Domestic Well",554166,4443898,"9961",NA,80,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"9","700012","Domestic Well",556169,4441933,"32630",NA,65,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"10","700013","Domestic Well",553323,4442317,"85449",NA,440,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"11","700015","Domestic Well",534118,4445889,"153762",NA,480,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"12","700017","Domestic Well",516275,4447231,"92433",NA,36,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"13","700018","Domestic Well",515919,4450104,"18396","9062513",361,TRUE,TRUE,TRUE,FALSE,TRUE,41.35,0.13,0.02,275.666666666667,-68.41,"Microbial"
"14","700019","Domestic Well",523034,4451858,"160044","0325387",440,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"15","700020","Domestic Well",523740,4451487,"162136",NA,450,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"16","700021","Domestic Well",519108,4456166,"159946",NA,254,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"17","700024","Domestic Well",521289,4451565,"20190","9062744",282,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"18","700025","Domestic Well",532546,4449100,"45670",NA,370,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
